rank,channel_info,influence_score,old_posts,posts,old_followers,followers,old_avg_likes,avg_likes,60_day_eng_rate,old_new_post_avg_like,new_post_avg_like,old_total_likes,total_likes,country
1,cristiano,92,3.3k,3300,475.8m,475800000,8.7m,8700000,1.39%,6.5m,6500000,29.0b,29000000000,Spain
2,kyliejenner,91,6.9k,6900,366.2m,366200000,8.3m,8300000,1.62%,5.9m,5900000,57.4b,57400000000,United States
3,leomessi,90,0.89k,890,357.3m,357300000,6.8m,6800000,1.24%,4.4m,4400000,6.0b,6000000000,
4,selenagomez,93,1.8k,1800,342.7m,342700000,6.2m,6200000,0.97%,3.3m,3300000,11.5b,11500000000,United States
5,therock,91,6.8k,6800,334.1m,334100000,1.9m,1900000,0.20%,665.3k,665300,12.5b,12500000000,United States
6,kimkardashian,91,5.6k,5600,329.2m,329200000,3.5m,3500000,0.88%,2.9m,2900000,19.9b,19900000000,United States
7,arianagrande,92,5.0k,5000,327.7m,327700000,3.7m,3700000,1.20%,3.9m,3900000,18.4b,18400000000,United States
8,beyonce,92,2.0k,2000,272.8m,272800000,3.6m,3600000,0.76%,2.0m,2000000,7.4b,7400000000,United States
9,khloekardashian,89,4.1k,4100,268.3m,268300000,2.4m,2400000,0.35%,926.9k,926900,9.8b,9800000000,United States
10,justinbieber,91,7.4k,7400,254.5m,254500000,1.9m,1900000,0.59%,1.5m,1500000,13.9b,13900000000,Canada
11,kendalljenner,90,0.66k,660,254.0m,254000000,5.5m,5500000,2.04%,5.1m,5100000,3.7b,3700000000,United States
12,natgeo,91,10.0k,10000,237.0m,237000000,302.2k,302200,0.07%,159.3k,159300,3.0b,3000000000,United States
13,nike,90,0.95k,950,234.1m,234100000,329.0k,329000,0.08%,181.8k,181800,313.6m,313600000,United States
14,taylorswift,91,0.53k,530,222.2m,222200000,2.4m,2400000,1.01%,2.3m,2300000,1.3b,1300000000,United States
15,jlo,89,3.2k,3200,220.4m,220400000,1.7m,1700000,0.62%,1.4m,1400000,5.3b,5300000000,United States
16,virat.kohli,87,1.4k,1400,211.8m,211800000,3.5m,3500000,0.96%,2.0m,2000000,4.9b,4900000000,
17,nickiminaj,90,6.4k,6400,201.6m,201600000,2.1m,2100000,0.53%,1.0m,1000000,13.5b,13500000000,United States
18,kourtneykardash,89,4.4k,4400,195.2m,195200000,1.8m,1800000,0.67%,1.3m,1300000,7.7b,7700000000,United States
19,mileycyrus,89,1.2k,1200,181.5m,181500000,1.3m,1300000,0.51%,913.6k,913600,1.6b,1600000000,
20,neymarjr,90,5.3k,5300,177.1m,177100000,2.7m,2700000,1.09%,1.9m,1900000,14.1b,14100000000,Brazil
21,katyperry,92,2.0k,2000,170.3m,170300000,715.0k,715000,0.16%,265.1k,265100,1.5b,1500000000,
22,kevinhart4real,88,8.2k,8200,152.0m,152000000,522.0k,522000,0.08%,115.2k,115200,4.3b,4300000000,United States
23,zendaya,87,3.5k,3500,150.7m,150700000,5.8m,5800000,3.17%,4.8m,4800000,20.6b,20600000000,United States
24,iamcardib,75,1.6k,1600,140.5m,140500000,3.1m,3100000,1.10%,1.5m,1500000,5.0b,5000000000,United States
25,ddlovato,88,0.08k,80,139.1m,139100000,1.1m,1100000,0.27%,363.4k,363400,91.3m,91300000,United States
26,badgalriri,88,4.8k,4800,135.3m,135300000,3.7m,3700000,0.02%,0,0,17.9b,17900000000,United States
27,kingjames,86,2.3k,2300,130.9m,130900000,2.1m,2100000,0.92%,1.2m,1200000,4.9b,4900000000,
28,theellenshow,87,10.0k,10000,125.1m,125100000,420.5k,420500,0.07%,81.7k,81700,4.2b,4200000000,United States
29,realmadrid,90,6.9k,6900,123.4m,123400000,996.2k,996200,0.48%,588.3k,588300,6.8b,6800000000,Spain
30,champagnepapi,85,5.2k,5200,119.6m,119600000,1.7m,1700000,1.10%,1.3m,1300000,9.0b,9000000000,Netherlands
31,chrisbrownofficial,86,7.3k,7300,118.5m,118500000,463.2k,463200,0.22%,255.9k,255900,3.4b,3400000000,United States
32,fcbarcelona,90,10.0k,10000,111.4m,111400000,1.2m,1200000,0.64%,706.3k,706300,11.6b,11600000000,
33,billieeilish,73,0.69k,690,105.2m,105200000,8.5m,8500000,5.02%,5.2m,5200000,5.9b,5900000000,
34,dualipa,74,1.3k,1300,85.9m,85900000,2.1m,2100000,1.26%,1.1m,1100000,2.6b,2600000000,United Kingdom
35,gal_gadot,85,1.7k,1700,85.6m,85600000,1.4m,1400000,0.69%,586.5k,586500,2.3b,2300000000,United States
36,vindiesel,88,1.8k,1800,82.3m,82300000,1.4m,1400000,0.60%,482.3k,482300,2.5b,2500000000,United States
37,nasa,88,3.6k,3600,81.3m,81300000,1.2m,1200000,1.53%,1.2m,1200000,4.2b,4200000000,United States
38,priyankachopra,85,3.6k,3600,81.1m,81100000,1.6m,1600000,1.00%,802.9k,802900,5.6b,5600000000,United States
39,lalalalisa_m,70,0.87k,870,80.9m,80900000,5.8m,5800000,9.00%,7.2m,7200000,5.1b,5100000000,
40,Shakira,88,2.0k,2000,76.1m,76100000,975.1k,975100,0.41%,304.7k,304700,1.9b,1900000000,
41,snoopdogg,86,10.0k,10000,75.3m,75300000,203.7k,203700,0.17%,125.8k,125800,2.0b,2000000000,
42,gigihadid,85,3.3k,3300,75.3m,75300000,2.5m,2500000,2.56%,1.9m,1900000,8.2b,8200000000,United States
43,davidbeckham,86,1.5k,1500,74.9m,74900000,1.2m,1200000,0.46%,340.9k,340900,1.9b,1900000000,United States
44,shraddhakapoor,81,1.9k,1900,73.9m,73900000,1.6m,1600000,1.17%,859.9k,859900,3.0b,3000000000,
45,victoriassecret,88,2.9k,2900,73.2m,73200000,147.0k,147000,0.04%,29.8k,29800,423.5m,423500000,United States
46,k.mbappe,86,1.2k,1200,72.7m,72700000,2.5m,2500000,2.16%,1.6m,1600000,2.8b,2800000000,
47,nehakakkar,84,2.3k,2300,70.4m,70400000,1.5m,1500000,0.54%,370.1k,370100,3.5b,3500000000,India
48,nba,87,12.9k,12900,70.1m,70100000,370.8k,370800,0.28%,196.9k,196900,4.8b,4800000000,United States
49,shawnmendes,83,2.5k,2500,69.9m,69900000,3.5m,3500000,2.87%,2.0m,2000000,8.8b,8800000000,Canada
50,jennierubyjane,76,0.86k,860,68.9m,68900000,5.1m,5100000,8.36%,5.7m,5700000,4.4b,4400000000,
51,narendramodi,85,0.54k,540,68.9m,68900000,2.9m,2900000,3.01%,2.0m,2000000,1.6b,1600000000,India
52,aliaabhatt,82,1.8k,1800,68.7m,68700000,1.8m,1800000,3.14%,2.1m,2100000,3.3b,3300000000,India
53,deepikapadukone,83,0.26k,260,68.4m,68400000,1.6m,1600000,2.23%,1.5m,1500000,419.0m,419000000,India
54,tomholland2013,77,1.2k,1200,67.7m,67700000,5.4m,5400000,10.83%,7.3m,7300000,6.6b,6600000000,
55,ronaldinho,78,2.9k,2900,67.7m,67700000,872.9k,872900,0.49%,325.7k,325700,2.6b,2600000000,Brazil
56,emmawatson,87,0.34k,340,67.3m,67300000,1.9m,1900000,0.01%,0,0,639.0m,639000000,United States
57,bts.bighitofficial,78,1.2k,1200,66.9m,66900000,4.1m,4100000,5.40%,3.6m,3600000,4.9b,4900000000,Uruguay
58,katrinakaif,85,1.0k,1000,66.3m,66300000,1.7m,1700000,2.25%,1.5m,1500000,1.7b,1700000000,India
59,marvel,82,7.0k,7000,66.2m,66200000,332.3k,332300,0.51%,339.0k,339000,2.3b,2300000000,Turkey
60,justintimberlake,87,0.78k,780,65.9m,65900000,600.4k,600400,0.30%,189.4k,189400,470.7m,470700000,United States
61,camila_cabello,77,2.9k,2900,65.0m,65000000,1.9m,1900000,2.19%,1.4m,1400000,5.4b,5400000000,United States
62,willsmith,82,1.4k,1400,63.9m,63900000,1.4m,1400000,0.02%,0,0,1.9b,1900000000,United States
63,raffinagita1717,83,17.5k,17500,63.5m,63500000,386.9k,386900,0.58%,366.6k,366600,6.8b,6800000000,Indonesia
64,anitta,82,5.1k,5100,63.1m,63100000,855.5k,855500,0.69%,426.2k,426200,4.4b,4400000000,United States
65,sooyaaa__,82,0.83k,830,62.9m,62900000,4.5m,4500000,9.43%,5.9m,5900000,3.8b,3800000000,
66,maluma,84,8.2k,8200,62.8m,62800000,1.2m,1200000,1.12%,696.3k,696300,9.8b,9800000000,Colombia
